2026-02-12 00:16:01.399 [main] INFO  c.p.d.DepartmentServiceApplication [cid=] - Starting DepartmentServiceApplication using Java 17.0.17 with PID 2328 (C:\Users\prafu\IdeaProjects\department-service\target\classes started by prafu in C:\Users\prafu\IdeaProjects\department-service)
2026-02-12 00:16:01.415 [main] INFO  c.p.d.DepartmentServiceApplication [cid=] - No active profile set, falling back to 1 default profile: "default"
2026-02-12 00:16:01.529 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader [cid=] - Fetching config from server at : http://localhost:8888
2026-02-12 00:16:01.530 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader [cid=] - Located environment: name=department-service, profiles=[default], label=null, version=fecd99e5da7497afb7a1d8ce9ecf8ca5b4abab12, state=
2026-02-12 00:16:04.610 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [cid=] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-02-12 00:16:04.667 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [cid=] - Finished Spring Data repository scanning in 33 ms. Found 0 JPA repository interfaces.
2026-02-12 00:16:05.287 [main] INFO  o.s.cloud.context.scope.GenericScope [cid=] - BeanFactory id=966cb7eb-a657-3762-8577-5d1519f4884b
2026-02-12 00:16:06.480 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [cid=] - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-02-12 00:16:06.488 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [cid=] - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2026-02-12 00:16:07.400 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [cid=] - Tomcat initialized with port 0 (http)
2026-02-12 00:16:07.429 [main] INFO  o.a.coyote.http11.Http11NioProtocol [cid=] - Initializing ProtocolHandler ["http-nio-auto-1"]
